from_state,H,O1,O2,I1,I2,B1,B2,F
H,0.8939454549638739,0.05362308456882783,0.0,0.03217385074129668,0.0,0.020257609726001626,0.0,0.0
O1,0.0,0.8841443023808144,0.1158556976191856,0.0,0.0,0.0,0.0,0.0
O2,0.0,0.0,0.9194384464939704,0.0,0.0,0.0,0.0,0.08056155350602959
I1,0.0,0.0,0.0,0.6979114664634957,0.30208853353650433,0.0,0.0,0.0
I2,0.0,0.0,0.0,0.0,0.8015850197707947,0.0,0.0,0.19841498022920534
B1,0.0,0.0,0.0,0.0,0.0,0.00031503735830218653,0.9996849626416978,0.0
B2,0.0,0.0,0.0,0.0,0.0,0.0,0.8031952342989727,0.1968047657010273
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
