sensitivity,setting,accuracy,balanced_accuracy,severity_2_exact_accuracy
likelihood_floor,epsilon_G=1e-06,0.7898866608544028,0.7723316054162371,0.8082549634273772
likelihood_floor,epsilon_G=1e-05,0.7898866608544028,0.7723316054162371,0.8082549634273772
likelihood_floor,epsilon_G=0.0001,0.7898866608544028,0.7723316054162371,0.8082549634273772
likelihood_floor,epsilon_G=0.001,0.7895960476605638,0.7721036110331314,0.8066875653082549
fusion_exponents,alpha=0.8; beta=1.8,0.7701249636733508,0.7607049582687901,0.8573667711598746
fusion_exponents,alpha=1; beta=1.6,0.7910491136297588,0.7734257225213185,0.8218390804597702
fusion_exponents,alpha=1; beta=1.8,0.7898866608544028,0.7723316054162371,0.8082549634273772
fusion_exponents,alpha=1; beta=2,0.7930834059866317,0.774319144851374,0.8045977011494253
fusion_exponents,alpha=1.2; beta=1.8,0.7804417320546353,0.7631199071929297,0.6849529780564263
