class,method,n,recall,ci_2_5,ci_97_5
H,wilson_binomial,15,1.0,0.7961166989641515,1.0
O1,wilson_binomial,15,0.2,0.07047549346981563,0.45185448715169363
O2,wilson_binomial,15,0.0,0.0,0.20388330103584862
I1,wilson_binomial,15,0.9333333333333333,0.7018347012621998,0.9881331045067315
I2,wilson_binomial,15,1.0,0.7961166989641515,1.0
B1,wilson_binomial,15,1.0,0.7961166989641515,1.0
B2,wilson_binomial,15,0.9333333333333333,0.7018347012621998,0.9881331045067315
