true_state,H,O1,O2,I1,I2,B1,B2
H,2882,0,0,0,0,0,0
O1,1199,313,0,0,0,0,0
O2,965,364,0,0,0,0,0
I1,0,0,0,416,20,0,0
I2,0,0,0,0,466,0,0
B1,0,0,0,0,0,138,0
B2,0,0,0,0,0,10,109
