from_state,H,O1,O2,I1,I2,B1,B2,F
H,1,1,0,1,0,1,0,0
O1,0,1,1,0,0,0,0,0
O2,0,0,1,0,0,0,0,1
I1,0,0,0,1,1,0,0,0
I2,0,0,0,0,1,0,0,1
B1,0,0,0,0,0,1,1,0
B2,0,0,0,0,0,0,1,1
F,0,0,0,0,0,0,0,1
