iteration,log_likelihood,delta_log_likelihood,max_parameter_change
901,-341.7368808644271,2.2505440711029223e-07,2.0871307820122904e-06
902,-341.73688064080216,2.236249656561995e-07,2.0739336380470874e-06
903,-341.7368804185977,2.222044486188679e-07,2.060820585514378e-06
904,-341.73688019780445,2.2079325390222948e-07,2.0477910801737823e-06
905,-341.73687997841364,2.1939081307209563e-07,2.034844582094028e-06
906,-341.73687976041566,2.1799797877974925e-07,2.0219805544559907e-06
907,-341.7368795438023,2.1661338678313768e-07,2.0091984641590344e-06
908,-341.73687932856416,2.152381171072193e-07,1.996497781542317e-06
