policy,bearing_id,event,event_t,cycle_length,total_cost,trigger_state,trigger_score
CBR1,953,PM,3,3,10.0,I_2,0.9824878419431085
CBR1,954,PM,47,47,10.0,I_2,0.9824878419431087
CBR1,955,PM,16,16,10.0,O_2,0.5521029527501142
CBR1,956,PM,10,10,10.0,O_2,0.4018180977954359
CBR1,957,PM,8,8,10.0,B_2,0.9621940813473776
CBR1,958,PM,23,23,10.0,I_2,0.9824878419431087
CBR1,959,PM,16,16,10.0,I_2,0.9824878419431087
CBR1,960,PM,19,19,10.0,O_2,0.40502470776950045
CBR1,961,PM,10,10,10.0,O_2,0.4534583216941139
CBR1,962,PM,27,27,10.0,O_2,0.5544167708138311
CBR1,963,PM,11,11,10.0,B_2,0.9621940813471408
CBR1,964,PM,6,6,10.0,O_2,0.43651791535426554
CBR1,965,PM,29,29,10.0,I_2,0.9824878389751445
CBR1,966,PM,6,6,10.0,O_2,0.5652679609868098
CBR1,967,PM,8,8,10.0,I_2,0.9824878419431087
CBR1,968,PM,10,10,10.0,B_2,0.9621940813471922
CBR1,969,PM,17,17,10.0,O_2,0.5305044306908436
CBR1,970,PM,24,24,10.0,I_2,0.9824878419431087
CBR1,971,PM,29,29,10.0,O_2,0.4678890681119019
CBR1,972,PM,5,5,10.0,B_2,0.9621940813480985
CBR1,973,PM,8,8,10.0,O_2,0.5127788713539306
CBR1,974,PM,15,15,10.0,B_2,0.9999999999783329
CBR1,975,PM,29,29,10.0,O_2,0.5318420365622748
CBR1,976,PM,6,6,10.0,O_2,0.43651791535426554
CBR1,977,PM,11,11,10.0,O_2,0.5682638246518616
CBR1,978,PM,26,26,10.0,B_2,0.9621940813470341
CBR1,979,PM,16,16,10.0,O_2,0.5020009900191581
CBR1,980,PM,48,48,10.0,O_2,0.5728744931287281
CBR1,981,PM,16,16,10.0,O_2,0.46641556771660375
CBR1,982,PM,26,26,10.0,O_2,0.5318152657399431
CBR1,983,PM,8,8,10.0,B_2,0.9621940813473776
CBR1,984,PM,36,36,10.0,I_2,0.9824878419431087
CBR1,985,PM,6,6,10.0,I_2,0.9824878419431087
CBR1,986,PM,10,10,10.0,O_2,0.48759648294803826
CBR1,987,PM,29,29,10.0,O_2,0.40589108613794117
CBR1,988,PM,17,17,10.0,O_2,0.4040133775710676
CBR1,989,PM,29,29,10.0,B_2,0.9621940813470339
CBR1,990,PM,13,13,10.0,I_2,0.9824878419431087
CBR1,991,PM,39,39,10.0,O_2,0.467897011604435
CBR1,992,PM,4,4,10.0,I_2,0.9824878419431087
CBR1,993,PM,15,15,10.0,O_2,0.4019136398849249
CBR1,994,PM,16,16,10.0,I_2,0.9824878419431087
CBR1,995,PM,7,7,10.0,O_2,0.5721105964775962
CBR1,996,PM,44,44,10.0,O_2,0.4059076980241464
CBR1,997,PM,16,16,10.0,B_2,0.9621940813470484
CBR1,998,PM,29,29,10.0,I_2,0.9824878419431087
CBR1,999,PM,30,30,10.0,O_2,0.4678917751880814
CBR1,1000,PM,3,3,10.0,I_2,0.9824878419431085
