true_state,H,O1,O2,I1,I2,B1,B2
H,15,0,0,0,0,0,0
O1,12,3,0,0,0,0,0
O2,11,4,0,0,0,0,0
I1,0,0,0,14,1,0,0
I2,0,0,0,0,15,0,0
B1,0,0,0,0,0,15,0
B2,0,0,0,0,0,1,14






